"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Life expectancy at birth (years)","Published","2012","Africa","Low-income","Guinea-Bissau","Both sexes","54","54.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Low-income","Guinea-Bissau","Male","14","14.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Low-income","Guinea-Bissau","Male","14","14.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Low-income","Haiti","Male","55","55.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Low-income","Haiti","Both sexes","56","56.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Low-income","Haiti","Both sexes","15","15.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Low-income","Kenya","Both sexes","52","52.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Low-income","Kenya","Female","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Low-income","Kenya","Both sexes","17","17.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","Low-income","Kyrgyzstan","Female","69","69.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Low-income","Kyrgyzstan","Female","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Low-income","Kyrgyzstan","Female","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Low-income","Cambodia","Male","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Western Pacific","Low-income","Cambodia","Female","18","18.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","Low-income","Lao People's Democratic Republic","Male","51","51.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","Low-income","Lao People's Democratic Republic","Both sexes","66","66.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Western Pacific","Low-income","Lao People's Democratic Republic","Male","14","14.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Low-income","Lao People's Democratic Republic","Both sexes","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","Low-income","Lao People's Democratic Republic","Both sexes","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Low-income","Madagascar","Female","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Low-income","Mali","Male","57","57.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Low-income","Mali","Female","46","46.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","South-East Asia","Low-income","Myanmar","Male","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","South-East Asia","Low-income","Myanmar","Male","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Low-income","Mozambique","Both sexes","53","53.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Low-income","Mozambique","Both sexes","14","14.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Low-income","Mauritania","Female","17","17.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Low-income","Malawi","Male","58","58.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Low-income","Malawi","Female","60","60.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Low-income","Malawi","Male","15","15.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Low-income","Niger","Male","50","50.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Low-income","Niger","Male","59","59.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Low-income","Niger","Female","43","43.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Low-income","Niger","Male","15","15.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","Low-income","Niue","Both sexes","71","71.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Western Pacific","Low-income","Niue","Male","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2000","South-East Asia","Low-income","Nepal","Female","63","63.00000","","",""
"Life expectancy at birth (years)","Published","2012","South-East Asia","Low-income","Nepal","Female","69","69.00000","","",""
"Life expectancy at birth (years)","Published","1990","South-East Asia","Low-income","Nepal","Both sexes","54","54.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","South-East Asia","Low-income","Nepal","Both sexes","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","South-East Asia","Low-income","Democratic People's Republic of Korea","Female","20","20.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Low-income","Rwanda","Male","63","63.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Low-income","Rwanda","Female","50","50.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Low-income","Senegal","Male","56","56.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Low-income","Senegal","Male","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Low-income","Senegal","Both sexes","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Low-income","Chad","Male","14","14.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Low-income","Togo","Male","54","54.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Low-income","Togo","Female","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Low-income","Togo","Both sexes","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Low-income","Tajikistan","Both sexes","64","64.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Low-income","Tajikistan","Female","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Low-income","Tajikistan","Female","17","17.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Low-income","United Republic of Tanzania","Female","52","52.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Low-income","United Republic of Tanzania","Female","51","51.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Low-income","United Republic of Tanzania","Female","63","63.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Low-income","United Republic of Tanzania","Male","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Low-income","United Republic of Tanzania","Female","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Low-income","Uganda","Male","56","56.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Low-income","Uganda","Female","49","49.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Low-income","Uganda","Both sexes","57","57.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Low-income","Uganda","Male","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Low-income","Uzbekistan","Male","63","63.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","Low-income","Uzbekistan","Both sexes","67","67.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Low-income","Uzbekistan","Both sexes","66","66.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Low-income","Uzbekistan","Male","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","Low-income","Viet Nam","Female","80","80.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","Low-income","Viet Nam","Both sexes","70","70.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","Low-income","Viet Nam","Female","25","25.00000","","",""
"Life expectancy at birth (years)","Published","2012","Eastern Mediterranean","Low-income","Yemen","Female","65","65.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Eastern Mediterranean","Low-income","Yemen","Male","15","15.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Low-income","Zambia","Male","40","40.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Low-income","Zambia","Male","40","40.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Low-income","Zambia","Female","43","43.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Low-income","Zambia","Male","14","14.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Low-income","Zimbabwe","Male","42","42.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Low-income","Zimbabwe","Both sexes","16","16.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Lower-middle-income","Angola","Female","45","45.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Lower-middle-income","Angola","Female","47","47.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Lower-middle-income","Angola","Female","52","52.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Lower-middle-income","Albania","Male","68","68.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","Lower-middle-income","Armenia","Male","63","63.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Lower-middle-income","Armenia","Both sexes","71","71.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Lower-middle-income","Armenia","Male","14","14.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Lower-middle-income","Armenia","Male","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Lower-middle-income","Armenia","Both sexes","18","18.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","Lower-middle-income","Azerbaijan","Female","75","75.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Lower-middle-income","Azerbaijan","Both sexes","66","66.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Lower-middle-income","Azerbaijan","Male","15","15.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Lower-middle-income","Belize","Both sexes","71","71.00000","","",""
"Life expectancy at birth (years)","Published","2000","South-East Asia","Lower-middle-income","Bhutan","Male","60","60.00000","","",""
"Life expectancy at birth (years)","Published","2012","South-East Asia","Lower-middle-income","Bhutan","Both sexes","68","68.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","South-East Asia","Lower-middle-income","Bhutan","Both sexes","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","South-East Asia","Lower-middle-income","Bhutan","Both sexes","19","19.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","Lower-middle-income","China","Male","67","67.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Lower-middle-income","China","Male","70","70.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","Lower-middle-income","China","Both sexes","69","69.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Western Pacific","Lower-middle-income","China","Male","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Lower-middle-income","China","Both sexes","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","Lower-middle-income","China","Both sexes","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Lower-middle-income","Côte d'Ivoire","Female","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Lower-middle-income","Côte d'Ivoire","Female","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Lower-middle-income","Cameroon","Female","57","57.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Lower-middle-income","Cameroon","Female","16","16.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Lower-middle-income","Congo","Male","55","55.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Lower-middle-income","Congo","Female","58","58.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Lower-middle-income","Congo","Male","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Lower-middle-income","Congo","Female","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Lower-middle-income","Congo","Both sexes","17","17.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Lower-middle-income","Cabo Verde","Male","63","63.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Lower-middle-income","Cabo Verde","Male","66","66.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Lower-middle-income","Cabo Verde","Both sexes","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Lower-middle-income","Cabo Verde","Both sexes","20","20.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Djibouti","Female","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Eastern Mediterranean","Lower-middle-income","Djibouti","Both sexes","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Djibouti","Both sexes","16","16.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Lower-middle-income","Ecuador","Female","72","72.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Lower-middle-income","Ecuador","Female","76","76.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Lower-middle-income","Ecuador","Female","23","23.00000","","",""
"Life expectancy at birth (years)","Published","1990","Eastern Mediterranean","Lower-middle-income","Egypt","Female","67","67.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Egypt","Male","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Eastern Mediterranean","Lower-middle-income","Egypt","Female","18","18.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","Both sexes","69","69.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","Male","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","Both sexes","17","17.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","Lower-middle-income","Georgia","Female","78","78.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","Lower-middle-income","Georgia","Both sexes","71","71.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Lower-middle-income","Georgia","Both sexes","72","72.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Lower-middle-income","Georgia","Female","22","22.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Lower-middle-income","Georgia","Both sexes","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Lower-middle-income","Georgia","Both sexes","20","20.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Lower-middle-income","Guatemala","Female","65","65.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Lower-middle-income","Guatemala","Female","75","75.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Lower-middle-income","Guatemala","Both sexes","68","68.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Lower-middle-income","Guyana","Male","60","60.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Lower-middle-income","Guyana","Male","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Lower-middle-income","Guyana","Female","18","18.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Lower-middle-income","Honduras","Female","69","69.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Lower-middle-income","Honduras","Male","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Lower-middle-income","Honduras","Male","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Lower-middle-income","Honduras","Both sexes","21","21.00000","","",""
"Life expectancy at birth (years)","Published","1990","South-East Asia","Lower-middle-income","Indonesia","Both sexes","62","62.00000","","",""
"Life expectancy at birth (years)","Published","2012","South-East Asia","Lower-middle-income","Indonesia","Both sexes","71","71.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","South-East Asia","Lower-middle-income","Indonesia","Male","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","South-East Asia","Lower-middle-income","Indonesia","Female","19","19.00000","","",""
"Life expectancy at birth (years)","Published","2000","South-East Asia","Lower-middle-income","India","Female","63","63.00000","","",""
"Life expectancy at birth (years)","Published","2012","South-East Asia","Lower-middle-income","India","Female","68","68.00000","","",""
"Life expectancy at birth (years)","Published","2000","South-East Asia","Lower-middle-income","India","Both sexes","62","62.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","South-East Asia","Lower-middle-income","India","Female","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","South-East Asia","Lower-middle-income","India","Both sexes","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","South-East Asia","Lower-middle-income","India","Both sexes","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Iran (Islamic Republic of)","Female","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Iran (Islamic Republic of)","Female","20","20.00000","","",""
"Life expectancy at birth (years)","Published","1990","Eastern Mediterranean","Lower-middle-income","Iraq","Male","67","67.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Iraq","Male","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Iraq","Both sexes","18","18.00000","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Jordan","Male","70","70.00000","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Jordan","Both sexes","72","72.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Jordan","Male","17","17.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Kiribati","Female","69","69.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","Lower-middle-income","Kiribati","Female","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Western Pacific","Lower-middle-income","Kiribati","Both sexes","16","16.00000","","",""
"Life expectancy at birth (years)","Published","1990","South-East Asia","Lower-middle-income","Sri Lanka","Female","75","75.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","South-East Asia","Lower-middle-income","Sri Lanka","Female","21","21.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","South-East Asia","Lower-middle-income","Sri Lanka","Female","20","20.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","South-East Asia","Lower-middle-income","Sri Lanka","Female","22","22.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Lower-middle-income","Lesotho","Male","47","47.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Lower-middle-income","Lesotho","Female","49","49.00000","","",""
"Life expectancy at birth (years)","Published","1990","Eastern Mediterranean","Lower-middle-income","Morocco","Male","63","63.00000","","",""
"Life expectancy at birth (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Morocco","Both sexes","71","71.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Morocco","Both sexes","17","17.00000","","",""
"Life expectancy at birth (years)","Published","1990","South-East Asia","Lower-middle-income","Maldives","Female","57","57.00000","","",""
"Life expectancy at birth (years)","Published","2000","South-East Asia","Lower-middle-income","Maldives","Female","68","68.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","South-East Asia","Lower-middle-income","Maldives","Female","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","South-East Asia","Lower-middle-income","Maldives","Both sexes","13","13.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Marshall Islands","Male","68","68.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Lower-middle-income","Marshall Islands","Female","68","68.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Western Pacific","Lower-middle-income","Marshall Islands","Female","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Lower-middle-income","Marshall Islands","Female","18","18.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","Lower-middle-income","Mongolia","Male","58","58.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Lower-middle-income","Mongolia","Male","60","60.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Mongolia","Both sexes","67","67.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Lower-middle-income","Mongolia","Both sexes","14","14.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","Lower-middle-income","Mongolia","Both sexes","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Lower-middle-income","Nigeria","Male","47","47.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Lower-middle-income","Nigeria","Both sexes","47","47.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Lower-middle-income","Nigeria","Both sexes","54","54.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Lower-middle-income","Nigeria","Both sexes","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Lower-middle-income","Nicaragua","Female","24","24.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Lower-middle-income","Nicaragua","Both sexes","22","22.00000","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Pakistan","Female","64","64.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Pakistan","Female","18","18.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Philippines","Male","65","65.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","Lower-middle-income","Philippines","Female","70","70.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Western Pacific","Lower-middle-income","Philippines","Female","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","Lower-middle-income","Philippines","Both sexes","17","17.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","Lower-middle-income","Papua New Guinea","Male","53","53.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Lower-middle-income","Papua New Guinea","Both sexes","14","14.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Lower-middle-income","Paraguay","Both sexes","73","73.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Lower-middle-income","Paraguay","Both sexes","74","74.00000","","",""
"Life expectancy at birth (years)","Published","1990","Eastern Mediterranean","Lower-middle-income","Sudan","Female","57","57.00000","","",""
"Life expectancy at birth (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Sudan","Female","65","65.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Sudan","Female","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Sudan","Female","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Western Pacific","Lower-middle-income","Solomon Islands","Male","15","15.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Lower-middle-income","El Salvador","Male","66","66.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Lower-middle-income","El Salvador","Both sexes","72","72.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Lower-middle-income","El Salvador","Male","18","18.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Lower-middle-income","Sao Tome and Principe","Female","69","69.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Lower-middle-income","Sao Tome and Principe","Both sexes","63","63.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Lower-middle-income","Sao Tome and Principe","Both sexes","67","67.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Lower-middle-income","Sao Tome and Principe","Both sexes","18","18.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Lower-middle-income","Swaziland","Female","61","61.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Lower-middle-income","Swaziland","Both sexes","48","48.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Lower-middle-income","Swaziland","Female","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Lower-middle-income","Swaziland","Female","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Lower-middle-income","Swaziland","Both sexes","16","16.00000","","",""
"Life expectancy at birth (years)","Published","1990","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","Female","71","71.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","Male","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","South-East Asia","Lower-middle-income","Thailand","Male","19","19.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Andorra","Female","86","86.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","High-income","Andorra","Female","26","26.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","High-income","Andorra","Both sexes","22","22.00000","","",""
"Life expectancy at birth (years)","Published","2012","Eastern Mediterranean","High-income","United Arab Emirates","Male","76","76.00000","","",""
"Life expectancy at birth (years)","Published","1990","Eastern Mediterranean","High-income","United Arab Emirates","Female","73","73.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Eastern Mediterranean","High-income","United Arab Emirates","Male","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Eastern Mediterranean","High-income","United Arab Emirates","Female","20","20.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","High-income","Antigua and Barbuda","Male","21","21.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","High-income","Australia","Male","21","21.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Austria","Male","72","72.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Austria","Both sexes","76","76.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Belgium","Female","79","79.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Belgium","Both sexes","76","76.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","High-income","Belgium","Female","23","23.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","High-income","Belgium","Female","24","24.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","High-income","Belgium","Female","25","25.00000","","",""
"Life expectancy at birth (years)","Published","2012","Eastern Mediterranean","High-income","Bahrain","Male","76","76.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Eastern Mediterranean","High-income","Bahrain","Male","19","19.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","High-income","Bahamas","Male","69","69.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","High-income","Bahamas","Both sexes","75","75.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","High-income","Bahamas","Male","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","High-income","Bahamas","Both sexes","21","21.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","High-income","Barbados","Female","81","81.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","High-income","Barbados","Both sexes","78","78.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","High-income","Barbados","Both sexes","22","22.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","High-income","Brunei Darussalam","Female","78","78.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","High-income","Brunei Darussalam","Both sexes","73","73.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","High-income","Brunei Darussalam","Both sexes","76","76.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","High-income","Canada","Male","80","80.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","High-income","Canada","Female","25","25.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","High-income","Switzerland","Male","21","21.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","High-income","Switzerland","Male","24","24.00000","","",""
